ID,Nome,Matricula,Turma,Curso,Semestre,Age,GPA,Attendance_Rate,Study_Hours_per_Day,Travel_Time_Minutes,Stress_Index,Gender_Male,Dropout,Nivel_Risco,Probabilidade_Risco,Recomendacoes
60,,,,,,23,0.73,71.8,3.17,21.9,3,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
61,,,,,,19,3.73,78.7,4.18,38.9,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
62,,,,,,20,2.03,81.8,4.55,40.2,3,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
63,,,,,,18,3.17,100.0,6.55,15.5,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
64,,,,,,18,1.52,82.1,4.7,20.9,6,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
65,,,,,,22,1.55,85.6,4.76,13.9,6,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
66,,,,,,24,3.64,74.1,3.03,35.1,4,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
67,,,,,,20,3.64,87.8,2.76,31.5,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
68,,,,,,23,4.0,93.0,2.72,10.8,6,1,0,BAIXO,20.0,Reforco escolar e acompanhamento pedagogico
69,,,,,,21,1.9,80.8,3.61,22.2,4,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
70,,,,,,19,2.82,86.9,4.08,33.7,3,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
71,,,,,,21,2.02,86.6,4.28,31.4,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
72,,,,,,24,3.87,82.6,2.94,44.5,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
73,,,,,,20,2.5,92.3,1.09,16.2,5,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico | Orientacao para rotina de estudos
74,,,,,,24,4.0,75.6,3.45,29.9,5,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
75,,,,,,17,4.0,75.0,5.22,18.0,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
76,,,,,,22,2.35,82.0,3.51,31.3,4,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
77,,,,,,21,3.72,79.0,4.0,27.8,5,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
78,,,,,,20,1.88,58.7,1.93,33.3,6,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos
79,,,,,,21,0.7,76.1,4.16,25.1,6,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
80,,,,,,17,1.57,65.0,4.53,39.1,4,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
81,,,,,,20,2.06,79.4,4.0,21.4,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
82,,,,,,21,0.87,87.7,5.25,17.8,7,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
83,,,,,,24,0.83,82.4,5.56,32.7,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
84,,,,,,19,1.96,83.1,6.75,52.2,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
85,,,,,,19,3.0,80.8,2.8,11.7,8,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
86,,,,,,19,3.03,83.7,4.37,16.3,7,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
87,,,,,,23,3.12,100.0,2.46,32.8,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
88,,,,,,21,1.22,79.2,4.79,43.5,7,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
89,,,,,,19,2.96,81.9,4.0,33.7,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
90,,,,,,22,2.96,75.1,1.49,22.7,3,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico | Orientacao para rotina de estudos
91,,,,,,21,2.37,66.8,4.35,35.0,7,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial
92,,,,,,23,0.75,84.1,3.74,36.2,4,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
93,,,,,,19,3.54,91.1,4.0,21.8,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
94,,,,,,20,3.28,100.0,3.62,39.9,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
95,,,,,,20,0.32,80.5,6.68,29.6,9,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
96,,,,,,17,0.31,79.9,4.75,9.0,3,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
97,,,,,,21,1.52,74.5,4.0,28.4,5,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
98,,,,,,21,2.78,95.7,3.57,23.2,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
99,,,,,,21,1.86,72.1,1.48,45.7,6,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos
100,,,,,,20,1.29,87.3,2.6,14.1,5,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
101,,,,,,17,4.0,96.6,6.19,24.2,4,1,0,BAIXO,20.0,Reforco escolar e acompanhamento pedagogico
102,,,,,,20,2.3,80.0,4.0,33.1,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
103,,,,,,20,2.1,72.7,4.59,59.0,7,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial
104,,,,,,19,3.2,88.3,4.51,53.5,2,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
105,,,,,,20,1.92,71.2,5.84,29.5,4,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
106,,,,,,21,1.36,91.5,4.42,34.2,6,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
107,,,,,,25,3.55,97.9,4.0,37.2,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
108,,,,,,21,1.82,63.0,4.0,17.9,5,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
109,,,,,,21,1.35,95.3,4.0,30.1,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
110,,,,,,20,1.59,87.1,3.64,46.3,6,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
111,,,,,,17,3.82,93.1,6.21,31.7,6,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
112,,,,,,20,0.96,76.8,2.63,53.4,6,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
113,,,,,,21,2.47,87.0,3.34,24.7,6,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
114,,,,,,26,1.34,83.9,1.63,28.9,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico | Orientacao para rotina de estudos
115,,,,,,20,1.81,75.7,5.31,29.0,7,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
116,,,,,,21,3.06,79.2,4.45,14.4,4,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
117,,,,,,20,2.45,86.6,6.26,43.3,5,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
118,,,,,,18,3.4,73.0,3.17,26.0,2,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
119,,,,,,23,2.9,72.4,2.97,33.1,4,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
120,,,,,,22,0.5,56.8,4.0,22.8,5,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
121,,,,,,22,2.31,75.8,4.59,50.7,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
122,,,,,,19,2.54,84.3,3.54,44.8,7,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
123,,,,,,24,0.0,77.9,4.39,30.7,4,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
124,,,,,,17,1.42,92.2,3.45,15.3,4,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
125,,,,,,22,1.96,70.4,5.87,38.9,4,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
126,,,,,,25,3.4,86.1,5.64,43.0,5,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
127,,,,,,18,2.14,79.1,4.11,18.9,8,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
128,,,,,,19,3.86,81.2,5.37,28.3,1,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
129,,,,,,21,1.93,87.5,3.83,30.9,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
130,,,,,,19,1.89,60.9,3.94,43.0,4,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
131,,,,,,17,1.94,64.9,1.19,28.2,1,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos
132,,,,,,21,1.7,81.5,4.66,41.5,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
133,,,,,,18,2.3,80.2,4.03,20.7,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
134,,,,,,22,2.45,70.6,5.14,17.3,4,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
135,,,,,,19,2.8,98.0,4.93,52.0,3,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
136,,,,,,24,1.89,72.7,3.03,14.3,5,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
137,,,,,,19,2.18,77.7,3.75,21.0,3,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
138,,,,,,20,1.9,91.2,3.38,39.4,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
139,,,,,,22,3.36,76.6,5.36,23.6,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
140,,,,,,18,1.17,75.1,6.05,23.3,7,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
141,,,,,,21,0.72,85.1,5.04,27.6,6,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
142,,,,,,23,3.6,76.1,6.58,5.0,6,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
143,,,,,,17,3.09,85.2,4.68,43.4,9,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
144,,,,,,21,2.39,86.1,2.73,32.1,6,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
145,,,,,,21,0.9,85.0,2.2,20.3,3,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
146,,,,,,22,2.11,91.4,2.8,9.4,4,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
147,,,,,,18,1.81,78.9,3.41,13.6,4,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
148,,,,,,18,2.68,78.0,3.12,10.9,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
149,,,,,,22,2.89,81.3,4.07,32.7,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
150,,,,,,21,3.15,59.4,3.77,32.8,3,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
151,,,,,,21,2.21,83.7,4.1,37.3,7,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
152,,,,,,21,0.92,79.4,7.17,38.8,7,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
153,,,,,,19,3.84,85.1,5.14,37.5,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
154,,,,,,21,3.68,74.8,4.35,48.5,3,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
155,,,,,,21,4.0,92.8,5.38,44.3,5,1,0,BAIXO,20.0,Reforco escolar e acompanhamento pedagogico
156,,,,,,19,3.72,80.3,2.95,41.5,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
157,,,,,,25,0.63,88.7,2.9,32.8,7,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
158,,,,,,22,3.6,77.9,5.19,38.6,3,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
159,,,,,,18,2.34,85.7,4.0,25.1,6,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
160,,,,,,22,1.7,69.6,4.16,27.3,6,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
161,,,,,,18,2.51,64.4,2.51,50.7,7,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial
162,,,,,,22,2.79,80.3,3.38,23.3,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
163,,,,,,23,1.29,81.8,3.47,22.4,4,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
164,,,,,,19,1.17,81.2,3.37,25.7,9,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
165,,,,,,23,2.11,79.7,6.79,23.4,3,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
166,,,,,,21,2.74,78.8,6.76,24.4,6,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
167,,,,,,22,2.56,87.4,5.48,32.9,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
168,,,,,,25,2.24,96.3,4.13,33.3,6,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
169,,,,,,20,4.0,100.0,3.24,40.9,6,0,0,BAIXO,20.0,Reforco escolar e acompanhamento pedagogico
170,,,,,,19,4.0,90.8,2.65,56.3,3,1,0,BAIXO,20.0,Reforco escolar e acompanhamento pedagogico
171,,,,,,19,0.91,63.7,4.44,25.6,3,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
172,,,,,,19,4.0,90.4,5.66,29.2,3,1,0,BAIXO,20.0,Reforco escolar e acompanhamento pedagogico
173,,,,,,20,4.0,90.3,5.01,7.9,4,0,0,BAIXO,20.0,Reforco escolar e acompanhamento pedagogico
174,,,,,,21,1.01,81.2,4.13,14.5,5,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
175,,,,,,21,3.97,89.4,4.87,28.2,4,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
176,,,,,,22,2.24,84.9,3.98,35.6,2,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
177,,,,,,21,2.22,81.9,3.64,35.9,7,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
178,,,,,,24,1.21,84.0,2.68,37.4,2,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
179,,,,,,20,2.34,77.6,3.57,45.1,6,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
180,,,,,,27,3.47,67.3,4.39,50.5,4,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
181,,,,,,22,0.02,67.0,3.46,27.1,7,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial
182,,,,,,19,2.01,89.3,2.51,20.4,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
183,,,,,,18,2.55,73.8,4.15,37.9,2,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
184,,,,,,22,3.18,69.8,4.39,41.2,5,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
185,,,,,,20,1.87,69.6,3.52,31.6,4,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
186,,,,,,22,2.61,78.2,3.97,27.9,7,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
187,,,,,,22,1.06,94.1,0.71,24.0,6,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico | Orientacao para rotina de estudos
188,,,,,,20,3.54,80.8,4.96,29.5,4,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
189,,,,,,19,4.0,70.6,4.37,38.3,3,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
190,,,,,,17,3.77,93.9,5.84,22.0,3,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
191,,,,,,20,2.45,84.6,3.72,20.4,4,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
192,,,,,,22,1.96,79.2,4.95,37.2,8,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
193,,,,,,21,2.93,85.9,5.53,19.8,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
194,,,,,,18,2.08,82.1,4.03,31.8,7,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
195,,,,,,21,2.71,76.3,4.45,31.2,2,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
196,,,,,,21,3.06,77.6,4.19,30.0,2,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
197,,,,,,19,3.19,72.1,1.92,22.3,3,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos
