Age,Family_Income,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Stress_Index,GPA,Semester_GPA,CGPA,Gender_Male,Internet_Access_Yes,Part_Time_Job_Yes,Scholarship_Yes,Semester_Year 2,Semester_Year 3,Semester_Year 4,Department_Business,Department_CS,Department_Engineering,Department_Science,Parental_Education_High School,Parental_Education_Master,Parental_Education_PhD,Dropout
21.5,50644.0,3.54,84.3,1,22.7,4.6,2.56,2.65,2.72,False,True,False,True,False,False,True,False,True,False,False,False,False,False,0
17.0,27000.0,4.2,84.0,1,61.2,4.8,2.68,2.7,2.7,False,True,False,True,False,False,False,True,False,False,False,False,False,False,0
17.2,29740.5,4.0,92.9,1,36.0,5.5,2.6,2.77,2.92,True,True,True,False,False,True,False,False,False,True,False,False,False,False,0
19.8,26246.0,3.49,72.5,2,52.2,7.0,2.81,3.15,3.15,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
18.8,28037.0,4.24,90.0,2,36.5,4.6,2.55,2.2,2.2,False,True,False,True,False,False,False,False,False,True,False,True,False,False,0
21.7,25000.0,4.8,77.2,0,34.8,4.3,1.99,1.8,1.78,False,True,True,True,False,False,True,True,False,False,False,False,True,False,0
19.0,37058.0,4.99,93.0,2,22.5,4.7,3.25,3.59,3.59,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
17.9,35168.0,4.48,65.0,1,41.7,5.6,1.71,1.63,1.63,True,True,False,False,False,False,False,True,False,False,False,False,False,False,1
24.2,38833.0,6.35,99.8,2,30.3,3.9,2.63,2.23,2.23,False,True,False,True,False,False,False,False,True,False,False,False,False,False,0
20.5,35149.0,3.48,79.8,0,31.0,6.3,2.09,2.01,2.0,True,True,True,False,False,True,False,False,False,False,False,False,True,False,0
21.1,46069.0,6.25,72.3,2,26.9,2.4,4.0,4.0,3.92,False,True,True,True,False,True,False,False,True,False,False,False,False,False,0
17.9,26700.0,4.9,89.3,3,28.8,4.0,3.14,3.11,3.04,False,True,False,True,False,False,True,True,False,False,False,False,False,False,0
19.8,33559.0,4.32,86.1,3,30.3,5.8,0.42,0.39,0.43,False,True,True,False,False,False,True,True,False,False,False,False,False,True,1
21.2,25000.0,4.42,85.6,2,31.5,3.8,3.47,3.7,3.66,False,True,False,False,True,False,False,False,True,False,False,False,True,False,0
18.5,25000.0,5.22,89.4,0,29.4,4.7,1.66,1.77,1.67,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0
21.8,66367.0,3.07,82.3,4,11.3,5.3,1.01,0.91,0.82,False,True,False,False,False,True,False,False,True,False,False,True,False,False,0
19.7,25000.0,4.19,79.7,1,36.5,9.3,1.15,0.77,0.76,True,True,True,False,False,True,False,True,False,False,False,True,False,False,0
20.4,29740.5,4.0,72.7,3,28.5,5.5,2.78,3.03,3.03,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0
19.7,25000.0,6.08,81.1,7,5.0,5.9,3.96,3.8,3.82,False,True,True,False,False,False,True,False,True,False,False,False,False,False,0
25.1,29740.5,4.0,77.9,3,10.9,5.5,2.56,2.4,2.48,True,True,False,True,False,True,False,False,False,False,True,False,False,False,1
21.0,34785.0,6.6,81.9,2,24.3,3.6,3.62,3.52,3.53,True,True,False,False,False,False,True,False,False,False,False,False,False,True,0
18.7,29740.5,4.0,67.9,1,45.3,5.5,1.64,1.69,1.65,True,True,True,True,False,True,False,False,False,False,False,False,False,False,0
22.8,25000.0,2.19,95.9,2,37.3,5.2,0.76,0.14,0.02,False,True,True,True,False,True,False,False,False,False,True,False,False,False,0
18.3,29740.5,4.0,61.0,1,21.8,5.5,0.81,0.96,0.97,False,True,False,True,False,True,False,False,False,False,False,False,False,False,1
21.5,26034.0,2.9,80.9,1,27.7,7.6,1.61,1.41,1.45,True,False,False,True,False,False,True,True,False,False,False,False,False,False,0
17.0,25000.0,6.16,78.5,0,43.3,4.7,3.66,3.35,3.42,False,True,False,False,True,False,False,False,False,False,True,True,False,False,0
18.1,77705.0,2.25,70.8,1,22.6,5.0,2.16,1.91,2.01,True,True,False,False,True,False,False,True,False,False,False,False,False,False,0
21.4,29740.5,4.0,85.0,3,17.0,5.5,3.1,3.57,3.55,False,True,True,False,True,False,False,True,False,False,False,False,True,False,0
22.6,25000.0,5.91,74.5,2,40.6,5.6,2.29,2.36,2.35,True,False,False,False,True,False,False,False,False,True,False,False,False,False,0
21.4,41216.0,7.6,85.0,1,43.4,4.4,1.62,1.69,1.69,True,True,True,True,False,False,False,True,False,False,False,True,False,False,0
20.7,49772.0,3.86,95.6,6,22.7,6.7,2.34,2.71,2.71,True,True,False,True,False,False,False,True,False,False,False,False,False,False,0
20.3,41183.0,4.15,72.1,2,35.9,8.4,2.32,2.79,2.82,True,True,True,True,False,True,False,True,False,False,False,True,False,False,1
17.7,25000.0,2.48,89.0,1,29.5,7.4,0.63,0.45,0.5,False,True,False,True,False,False,True,False,False,True,False,False,True,False,0
19.4,25682.0,3.51,69.7,2,22.9,7.9,1.58,1.43,1.43,False,True,False,False,False,False,False,True,False,False,False,False,True,False,0
20.0,25000.0,6.84,75.6,1,44.0,5.2,3.36,3.59,3.66,True,True,True,False,False,False,True,True,False,False,False,False,False,False,0
23.3,25000.0,5.13,86.5,1,22.0,3.6,4.0,3.95,4.0,True,True,True,False,False,False,True,False,True,False,False,False,False,False,0
21.8,25000.0,5.58,79.8,2,39.1,1.9,4.0,3.73,3.77,True,True,True,False,True,False,False,True,False,False,False,False,False,False,0
17.1,27754.0,4.84,93.6,3,30.8,1.8,2.8,3.38,3.38,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0
21.7,25000.0,5.39,83.0,1,27.9,5.1,4.0,4.0,3.94,False,True,True,False,False,False,True,False,True,False,False,False,False,False,0
20.2,26368.0,6.52,86.2,1,23.3,6.4,2.89,2.7,2.65,True,True,False,False,False,True,False,True,False,False,False,False,False,False,0
19.5,25000.0,3.41,76.5,2,18.2,7.0,2.28,2.05,2.05,False,True,True,False,False,True,False,True,False,False,False,True,False,False,0
22.3,33661.0,4.96,73.7,4,27.0,5.9,2.16,2.42,2.47,True,True,False,False,False,False,True,True,False,False,False,False,True,False,1
23.3,25000.0,3.1,72.8,0,23.9,4.2,0.35,0.0,0.0,False,True,False,True,False,False,False,True,False,False,False,False,False,False,1
23.0,35396.0,1.35,74.5,0,31.1,6.7,0.68,0.93,0.93,False,True,True,True,False,False,False,False,False,False,True,True,False,False,1
19.2,56894.0,4.34,76.4,1,15.6,3.3,2.64,2.68,2.68,False,True,False,False,False,False,True,False,False,False,True,False,False,False,0
20.3,77162.0,4.16,91.3,3,28.2,3.5,2.09,2.39,2.57,False,True,False,True,False,False,True,False,False,True,False,False,False,False,0
21.7,25000.0,3.9,85.2,5,34.9,6.6,0.26,0.37,0.42,False,True,False,False,True,False,False,True,False,False,False,False,True,False,1
23.1,25000.0,3.17,71.8,2,21.9,3.3,0.73,0.35,0.35,False,True,False,False,False,False,False,False,False,False,True,True,False,False,0
19.9,25000.0,4.18,78.7,2,38.9,4.1,3.73,4.0,4.0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,0
20.6,39191.0,4.55,81.8,3,40.2,3.7,2.03,2.3,2.32,True,True,True,True,True,False,False,False,False,False,True,False,False,True,0
18.6,25000.0,6.55,100.0,0,15.5,5.8,3.17,3.13,3.13,True,True,True,True,False,False,False,False,False,True,False,False,False,False,0
18.4,25000.0,4.7,82.1,1,20.9,6.6,1.52,1.68,1.71,True,True,False,False,False,True,False,False,False,True,False,False,False,True,0
22.8,32151.0,4.76,85.6,1,13.9,6.6,1.55,1.61,1.63,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0
24.0,31286.0,3.03,74.1,2,35.1,4.5,3.64,3.06,3.04,True,True,False,True,False,False,True,False,True,False,False,False,False,False,0
20.8,37293.0,2.76,87.8,0,31.5,5.2,3.64,3.63,3.68,True,True,False,False,False,False,True,False,False,False,True,False,False,False,0
23.2,38801.0,2.72,93.0,2,10.8,6.8,4.0,4.0,4.0,True,True,True,False,False,True,False,False,False,False,False,True,False,False,0
21.8,36430.0,3.61,80.8,1,22.2,4.5,1.9,1.48,1.48,True,True,False,False,False,False,False,False,False,True,False,False,True,False,0
19.6,33396.0,4.08,86.9,4,33.7,3.9,2.82,2.97,2.97,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0
21.8,30744.0,4.28,86.6,3,31.4,4.3,2.02,2.32,2.28,False,True,False,True,False,False,True,True,False,False,False,False,False,False,0
24.4,44305.0,2.94,82.6,1,44.5,4.4,3.87,3.54,3.55,False,True,False,False,False,True,False,False,True,False,False,False,False,False,0
20.9,25000.0,1.09,92.3,1,16.2,5.6,2.5,2.33,2.33,False,True,True,False,False,False,False,False,False,False,False,False,False,False,0
24.4,75102.0,3.45,75.6,2,29.9,5.5,4.0,4.0,4.0,False,True,True,False,False,False,False,False,False,True,False,False,False,False,0
17.0,25000.0,5.22,75.0,1,18.0,5.2,4.0,4.0,3.97,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0
22.8,25000.0,3.51,82.0,2,31.3,4.1,2.35,2.56,2.52,True,True,True,False,True,False,False,False,False,False,True,False,False,False,0
21.2,29740.5,4.0,79.0,2,27.8,5.5,3.72,3.67,3.59,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0
20.3,44514.0,1.93,58.7,3,33.3,6.7,1.88,1.8,1.8,True,True,True,False,False,False,False,False,False,False,True,False,False,False,1
21.2,25000.0,4.16,76.1,2,25.1,6.1,0.7,1.08,1.27,True,True,False,False,False,False,True,False,False,True,False,True,False,False,0
17.0,29235.0,4.53,65.0,0,39.1,4.7,1.57,1.17,1.17,False,True,False,True,False,False,False,False,True,False,False,True,False,False,0
20.5,29740.5,4.0,79.4,2,21.4,5.5,2.06,1.85,1.85,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0
21.8,53998.0,5.25,87.7,1,17.8,7.7,0.87,0.76,0.76,True,True,False,False,False,False,False,False,True,False,False,False,True,False,0
24.3,25000.0,5.56,82.4,2,32.7,5.4,0.83,0.86,0.89,True,True,False,True,False,True,False,False,False,True,False,False,False,False,0
19.9,25000.0,6.75,83.1,0,52.2,5.5,1.96,1.86,1.86,True,True,False,False,False,False,True,False,False,False,True,False,True,False,0
19.2,25000.0,2.8,80.8,2,11.7,8.2,3.0,3.11,3.11,True,True,False,False,False,False,True,False,False,False,False,False,False,False,0
19.9,25000.0,4.37,83.7,0,16.3,7.4,3.03,2.94,2.94,True,True,False,False,True,False,False,False,False,True,False,False,True,False,0
23.0,25000.0,2.46,100.0,1,32.8,4.3,3.12,3.19,3.2,False,True,False,True,False,True,False,False,False,False,False,False,True,False,0
21.7,25000.0,4.79,79.2,3,43.5,7.4,1.22,1.44,1.42,False,True,True,False,False,False,True,False,True,False,False,False,True,False,1
19.8,29740.5,4.0,81.9,0,33.7,5.5,2.96,2.79,2.7,True,True,False,False,False,True,False,False,False,False,False,True,False,False,1
22.1,32176.0,1.49,75.1,1,22.7,3.6,2.96,2.94,2.94,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0
21.2,39933.0,4.35,66.8,1,35.0,7.8,2.37,2.7,2.64,True,True,False,False,False,True,False,False,False,False,False,True,False,False,0
23.1,33807.0,3.74,84.1,0,36.2,4.2,0.75,0.64,0.67,True,False,True,False,False,False,True,True,False,False,False,True,False,False,1
19.5,29740.5,4.0,91.1,3,21.8,5.5,3.54,3.8,3.8,True,False,False,False,False,False,False,False,True,False,False,True,False,False,0
20.3,50359.0,3.62,100.0,0,39.9,4.8,3.28,3.68,3.63,False,True,False,False,False,True,False,True,False,False,False,True,False,False,0
20.1,25000.0,6.68,80.5,3,29.6,9.2,0.32,0.01,0.01,True,True,False,True,False,False,False,False,False,False,False,True,False,False,0
17.8,25000.0,4.75,79.9,0,9.0,3.8,0.31,0.4,0.43,False,True,False,False,False,False,True,False,True,False,False,False,True,False,1
21.7,29740.5,4.0,74.5,0,28.4,5.5,1.52,1.5,1.5,False,True,True,False,False,False,True,False,True,False,False,False,False,False,0
21.6,29331.0,3.57,95.7,4,23.2,4.9,2.78,2.59,2.62,False,False,False,False,True,False,False,True,False,False,False,False,False,True,0
21.0,25000.0,1.48,72.1,2,45.7,6.4,1.86,2.13,2.13,False,True,False,True,False,False,False,False,False,True,False,False,False,True,0
20.5,51391.0,2.6,87.3,0,14.1,5.4,1.29,1.4,1.4,False,True,True,True,True,False,False,False,True,False,False,True,False,False,0
17.9,97535.0,6.19,96.6,1,24.2,4.3,4.0,4.0,4.0,True,True,False,True,False,True,False,True,False,False,False,False,True,False,1
20.1,29740.5,4.0,80.0,2,33.1,5.5,2.3,2.29,2.3,True,True,True,True,False,True,False,False,False,False,True,True,False,False,0
20.2,31276.0,4.59,72.7,1,59.0,7.9,2.1,2.3,2.3,False,True,True,False,False,False,False,False,False,True,False,False,False,False,0
19.2,49497.0,4.51,88.3,2,53.5,2.6,3.2,3.28,3.24,False,True,False,True,False,False,True,True,False,False,False,False,False,False,0
20.6,25000.0,5.84,71.2,2,29.5,4.3,1.92,1.95,1.92,True,True,False,False,False,False,True,False,False,False,True,False,False,False,0
21.9,30245.0,4.42,91.5,0,34.2,6.4,1.36,1.01,1.01,True,True,True,False,False,False,False,False,False,False,False,False,False,False,0
25.1,29740.5,4.0,97.9,4,37.2,5.5,3.55,3.36,3.36,True,True,True,True,False,False,False,False,False,True,False,False,True,False,1
21.4,29740.5,4.0,63.0,3,17.9,5.5,1.82,1.72,1.66,True,True,True,False,True,False,False,False,False,True,False,True,False,False,1
21.6,29740.5,4.0,95.3,1,30.1,5.5,1.35,1.44,1.55,True,False,False,False,True,False,False,False,False,False,True,False,False,False,0
20.8,26596.0,3.64,87.1,2,46.3,6.6,1.59,1.43,1.43,False,True,False,False,True,False,False,True,False,False,False,False,False,False,0
17.0,28669.0,6.21,93.1,0,31.7,6.4,3.82,4.0,4.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0
20.9,25000.0,2.63,76.8,1,53.4,6.8,0.96,1.19,1.19,True,False,True,False,False,False,False,True,False,False,False,False,False,False,1
21.1,104579.0,3.34,87.0,2,24.7,6.1,2.47,2.67,2.68,False,True,True,False,False,True,False,False,False,False,True,False,True,False,0
26.4,25000.0,1.63,83.9,2,28.9,4.9,1.34,2.12,2.13,False,True,False,False,True,False,False,False,False,False,False,True,False,False,1
20.6,25000.0,5.31,75.7,1,29.0,7.2,1.81,1.49,1.49,True,True,True,False,False,False,True,True,False,False,False,True,False,False,0
21.7,28108.0,4.45,79.2,3,14.4,4.6,3.06,2.83,2.83,True,True,False,True,False,False,False,True,False,False,False,False,False,False,0
20.9,51263.0,6.26,86.6,0,43.3,5.2,2.45,2.48,2.48,False,True,False,True,False,False,True,False,True,False,False,True,False,False,0
18.4,30045.0,3.17,73.0,2,26.0,2.5,3.4,2.71,2.69,False,False,True,False,False,False,True,False,False,False,True,False,True,False,0
23.5,39789.0,2.97,72.4,2,33.1,4.6,2.9,2.99,2.96,True,True,True,True,False,True,False,False,False,False,True,False,False,False,0
22.7,29740.5,4.0,56.8,0,22.8,5.5,0.5,0.0,0.0,False,True,True,True,False,False,False,False,False,True,False,False,True,False,0
22.7,72592.0,4.59,75.8,3,50.7,5.5,2.31,1.81,1.83,True,False,False,True,True,False,False,False,False,False,False,False,False,False,1
19.0,41649.0,3.54,84.3,4,44.8,7.2,2.54,2.61,2.67,True,True,False,False,True,False,False,False,False,True,False,False,False,False,1
24.1,55749.0,4.39,77.9,0,30.7,4.7,0.0,0.0,0.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,0
17.9,37016.0,3.45,92.2,1,15.3,4.8,1.42,1.18,1.18,True,True,True,False,False,False,False,False,True,False,False,False,False,False,0
22.3,48773.0,5.87,70.4,2,38.9,4.5,1.96,1.85,1.87,False,True,False,False,False,False,True,False,False,False,False,True,False,False,1
25.8,25000.0,5.64,86.1,3,43.0,5.9,3.4,3.39,3.41,False,True,True,False,False,False,True,False,False,False,True,False,True,False,0
18.8,25000.0,4.11,79.1,1,18.9,8.3,2.14,1.9,1.92,True,True,True,False,True,False,False,False,True,False,False,False,True,False,0
19.8,66695.0,5.37,81.2,0,28.3,1.3,3.86,4.0,4.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0
21.2,75799.0,3.83,87.5,1,30.9,4.6,1.93,1.85,1.8,False,True,False,True,True,False,False,False,False,False,False,True,False,False,0
19.9,25000.0,3.94,60.9,2,43.0,4.9,1.89,1.9,1.92,True,True,False,False,False,True,False,False,False,False,False,True,False,False,1
17.6,34539.0,1.19,64.9,1,28.2,1.7,1.94,1.85,1.93,False,True,False,False,False,True,False,True,False,False,False,False,False,False,0
21.2,25000.0,4.66,81.5,2,41.5,5.3,1.7,1.5,1.5,True,True,False,False,False,False,True,False,True,False,False,False,False,False,0
18.7,25000.0,4.03,80.2,2,20.7,4.9,2.3,2.28,2.28,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0
22.0,35274.0,5.14,70.6,3,17.3,4.7,2.45,2.56,2.56,True,True,False,False,False,False,False,False,False,True,False,True,False,False,0
19.0,58958.0,4.93,98.0,1,52.0,3.5,2.8,2.78,2.72,False,True,False,False,False,False,True,False,False,False,True,False,True,False,0
24.4,38988.0,3.03,72.7,1,14.3,5.3,1.89,1.78,1.79,True,True,True,True,False,True,False,False,False,True,False,False,True,False,0
19.3,25000.0,3.75,77.7,2,21.0,3.4,2.18,2.3,2.29,False,True,True,False,False,True,False,False,True,False,False,False,False,True,0
20.3,40494.0,3.38,91.2,2,39.4,4.0,1.9,1.89,1.88,False,False,False,True,True,False,False,False,True,False,False,False,False,False,0
22.8,25000.0,5.36,76.6,3,23.6,5.1,3.36,3.88,3.95,True,True,False,False,False,True,False,False,False,False,False,False,False,False,0
18.3,38073.0,6.05,75.1,1,23.3,7.3,1.17,0.89,1.01,True,True,False,False,False,True,False,True,False,False,False,True,False,False,0
21.5,68726.0,5.04,85.1,1,27.6,6.2,0.72,0.87,0.83,True,True,True,False,False,True,False,False,True,False,False,False,False,False,1
23.9,25000.0,6.58,76.1,1,5.0,6.6,3.6,3.93,3.93,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
17.5,47971.0,4.68,85.2,2,43.4,9.0,3.09,3.01,2.96,True,True,False,False,True,False,False,False,False,False,True,False,False,False,0
21.4,25000.0,2.73,86.1,1,32.1,6.3,2.39,2.62,2.63,False,True,False,True,False,True,False,True,False,False,False,True,False,False,0
21.6,62131.0,2.2,85.0,4,20.3,3.6,0.9,0.97,0.97,True,True,True,False,False,False,True,False,False,False,False,True,False,False,0
22.7,25000.0,2.8,91.4,3,9.4,4.5,2.11,2.71,2.73,True,True,False,True,True,False,False,False,False,True,False,False,True,False,0
18.3,25000.0,3.41,78.9,1,13.6,4.0,1.81,1.98,1.91,True,True,False,True,True,False,False,True,False,False,False,True,False,False,0
18.1,45124.0,3.12,78.0,0,10.9,5.3,2.68,2.23,2.27,True,True,False,True,True,False,False,False,False,True,False,False,True,False,0
22.1,36994.0,4.07,81.3,3,32.7,4.8,2.89,3.07,3.09,False,True,False,False,True,False,False,False,False,False,True,True,False,False,0
21.7,25000.0,3.77,59.4,5,32.8,3.8,3.15,3.26,3.26,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0
21.6,25000.0,4.1,83.7,0,37.3,7.2,2.21,2.55,2.53,True,True,True,True,False,False,True,False,True,False,False,True,False,False,0
21.8,26569.0,7.17,79.4,2,38.8,7.3,0.92,1.25,1.25,False,True,True,True,False,False,False,True,False,False,False,False,False,False,0
19.5,25000.0,5.14,85.1,1,37.5,5.8,3.84,3.78,3.86,True,True,True,True,False,False,True,False,False,True,False,False,True,False,0
21.5,25000.0,4.35,74.8,1,48.5,3.7,3.68,3.49,3.42,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0
21.6,31868.0,5.38,92.8,4,44.3,5.7,4.0,4.0,4.0,True,True,False,True,False,False,False,True,False,False,False,False,False,False,0
19.4,25000.0,2.95,80.3,2,41.5,4.4,3.72,3.87,3.87,False,False,True,False,False,False,False,True,False,False,False,False,True,False,0
25.1,38404.0,2.9,88.7,1,32.8,7.8,0.63,0.88,0.88,False,True,False,False,False,False,False,True,False,False,False,False,False,True,1
22.0,72699.0,5.19,77.9,2,38.6,3.3,3.6,3.55,3.55,True,True,False,False,False,False,False,False,False,False,True,False,True,False,0
18.4,27197.0,4.0,85.7,2,25.1,6.7,2.34,2.45,2.42,False,True,False,False,False,True,False,False,False,True,False,False,False,False,0
22.4,32148.0,4.16,69.6,0,27.3,6.6,1.7,1.54,1.54,True,True,True,True,False,False,False,True,False,False,False,True,False,False,0
18.9,99793.0,2.51,64.4,4,50.7,7.1,2.51,2.29,2.29,True,True,False,True,False,False,False,False,False,False,True,True,False,False,0
22.7,25000.0,3.38,80.3,1,23.3,5.9,2.79,2.78,2.77,True,True,False,False,False,True,False,True,False,False,False,False,True,False,0
23.5,60763.0,3.47,81.8,1,22.4,4.9,1.29,1.09,1.16,True,True,True,False,True,False,False,False,True,False,False,False,False,False,0
19.2,56529.0,3.37,81.2,1,25.7,9.8,1.17,1.01,1.06,True,True,False,False,True,False,False,True,False,False,False,False,False,False,1
23.1,49642.0,6.79,79.7,3,23.4,3.9,2.11,2.14,2.18,True,True,True,False,False,True,False,False,False,False,True,False,True,False,0
21.9,64541.0,6.76,78.8,2,24.4,6.8,2.74,2.61,2.62,True,True,False,False,False,True,False,False,True,False,False,False,False,False,0
22.8,35184.0,5.48,87.4,1,32.9,5.5,2.56,3.08,3.08,True,True,True,True,False,False,False,False,False,False,False,True,False,False,0
25.2,25000.0,4.13,96.3,0,33.3,6.1,2.24,2.25,2.24,False,True,False,False,False,True,False,False,False,True,False,False,False,False,1
20.5,57339.0,3.24,100.0,2,40.9,6.1,4.0,4.0,4.0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,0
19.3,58671.0,2.65,90.8,1,56.3,3.6,4.0,3.78,3.81,True,True,True,False,False,True,False,False,False,False,False,False,False,False,0
19.0,57710.0,4.44,63.7,0,25.6,3.1,0.91,1.01,0.97,True,True,True,True,False,True,False,False,False,False,True,False,False,False,0
19.2,30537.0,5.66,90.4,0,29.2,3.2,4.0,3.73,3.73,True,False,True,True,False,False,True,False,False,True,False,False,False,False,0
20.8,25000.0,5.01,90.3,3,7.9,4.7,4.0,3.7,3.7,False,True,False,False,True,False,False,False,True,False,False,False,False,False,0
21.8,33350.0,4.13,81.2,1,14.5,5.9,1.01,0.8,0.8,False,True,True,True,False,False,False,False,False,True,False,True,False,False,0
21.6,52331.0,4.87,89.4,2,28.2,4.3,3.97,3.53,3.54,True,True,False,True,False,True,False,False,False,True,False,True,False,False,0
22.8,54974.0,3.98,84.9,1,35.6,2.9,2.24,2.68,2.68,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0
21.0,25000.0,3.64,81.9,0,35.9,7.2,2.22,2.25,2.23,True,True,False,False,True,False,False,True,False,False,False,False,False,False,0
24.2,35926.0,2.68,84.0,4,37.4,2.7,1.21,1.66,1.71,True,True,False,False,True,False,False,True,False,False,False,True,False,False,0
20.4,25000.0,3.57,77.6,1,45.1,6.4,2.34,2.05,1.99,False,True,False,False,False,False,True,True,False,False,False,False,False,False,0
27.0,53689.0,4.39,67.3,2,50.5,4.1,3.47,3.57,3.54,False,True,True,False,False,True,False,True,False,False,False,False,False,False,0
22.4,25000.0,3.46,67.0,6,27.1,7.7,0.02,0.29,0.29,True,True,False,True,False,False,False,False,False,True,False,False,False,False,1
19.1,47627.0,2.51,89.3,5,20.4,4.6,2.01,2.09,2.11,False,True,False,False,False,True,False,False,False,False,True,True,False,False,0
18.6,25000.0,4.15,73.8,1,37.9,2.3,2.55,2.26,2.26,True,True,False,False,False,False,False,False,False,False,False,False,False,False,0
22.1,55207.0,4.39,69.8,2,41.2,5.4,3.18,2.81,2.8,True,False,False,False,True,False,False,True,False,False,False,True,False,False,0
20.5,36066.0,3.52,69.6,3,31.6,4.0,1.87,1.74,1.77,False,True,True,True,True,False,False,False,False,False,True,False,False,False,0
22.6,25000.0,3.97,78.2,0,27.9,7.0,2.61,2.35,2.32,False,True,False,True,True,False,False,False,False,True,False,False,True,False,0
22.0,45018.0,0.71,94.1,1,24.0,6.1,1.06,1.43,1.41,True,True,False,True,False,True,False,False,False,False,False,False,True,False,0
20.8,25000.0,4.96,80.8,1,29.5,4.4,3.54,3.43,3.43,True,True,True,False,True,False,False,False,True,False,False,True,False,False,0
19.1,46618.0,4.37,70.6,2,38.3,3.7,4.0,3.93,4.0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,0
17.7,25224.0,5.84,93.9,1,22.0,3.5,3.77,3.79,3.73,False,False,True,False,False,False,True,False,False,True,False,False,False,False,0
20.0,25000.0,3.72,84.6,1,20.4,4.4,2.45,2.51,2.51,True,True,False,False,False,False,False,True,False,False,False,True,False,False,0
22.9,25000.0,4.95,79.2,1,37.2,8.0,1.96,1.95,2.01,True,True,False,False,False,False,True,True,False,False,False,True,False,False,0
21.5,25000.0,5.53,85.9,3,19.8,5.2,2.93,2.67,2.67,True,False,False,False,False,False,False,False,True,False,False,False,False,True,0
18.3,67570.0,4.03,82.1,0,31.8,7.2,2.08,2.29,2.29,False,True,True,True,False,False,True,False,True,False,False,False,True,False,0
21.4,51056.0,4.45,76.3,1,31.2,2.8,2.71,2.94,2.97,False,True,True,False,False,True,False,False,False,False,True,True,False,False,0
21.8,78772.0,4.19,77.6,2,30.0,2.0,3.06,2.95,2.95,True,True,False,False,False,False,False,False,False,False,False,True,False,False,0
